變數名稱,變數內容,問題屬性,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容
A1,年底是否還在使用,選擇題,1,是,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12A,什麼時候才開始不使用,選擇題,1,民國99年底以前,2,民國100年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B,不使用原因,選擇題,1,暫時沒有使用,2,已失竊,3,已不堪使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12C,不使用本機車後外出最常使用的運具,選擇題,1,機車,2,自用小客車,3,步行,4,自行車,5,公共運具（含計程車）,6,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B1,暫時沒有使用的原因,選擇題,1,使用者出外(含當兵、求學、工作、出國等) ,2,年老(傷病)無法騎,3,機車須大修(尚未報廢)才能使用,4,已改用其他運具代替,5,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B2A,何時失竊,選擇題,1,民國100年,2,民國99年,3,民國98年底以前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B2B,有沒有到警察機關辦理報案手續並取得車輛失竊證明單,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B2C,沒有到監理單位辦理完成註銷牌照登記,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B2C2,沒有，最主要原因,選擇題,1,不知道要(或不會)辦理,2,嫌麻煩,3,積欠稅款、罰款,4,沒有失竊證明單，無法辦理,5,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B3A,何時開始不堪使用,選擇題,1,民國100年,2,民國99年,3,民國98年底以前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B3B,已不堪使用之處置方式,選擇題,1,交給環保署立案之回收商處理,2,停放於道路範圍(如停車格、街道、騎樓)任由環保局處理,3,棄置於空地上,4,賣或送給機車行、中古商、收舊物商或他人 ,5,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B3C,有沒有到監理單位辦理完成牌照報廢手續,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B3C2,沒有，最主要原因,選擇題,1,不知道要(或不會)辦理,2,嫌麻煩,3,積欠稅款、罰款,4,車牌已遺失,5,認為機車行會代辦,6,車輛已遭環保局依廢棄車輛查報拖吊，應由其代辦,7,認為環保署立案之回收商會代辦,8,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,預計再使用幾年後淘汰,選擇題,1,未滿2年,2,2~未滿3年,3,3~未滿4年,4,4~未滿5年,5,5~未滿6年,6,6~未滿8年,7,8~未滿10年,8,10年及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,淘汰後，是否會繼續購買機車,選擇題,1,會,2,不會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A41,會購買何種類型的機車,選擇題,1,電動機車,2,普通輕型機車(不超過50cc),3,普通重型機車(超過50~250cc),4,超過250~未滿550cc之大型重型機車,5,550cc及以上之大型重型機車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,目前機車行照有無逾期,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A51,是否會去換發行照,選擇題,1,會,2,不會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A512,不會最主要理由為,選擇題,1,不知道要換發,2,認為沒有必要,3,沒有時間嫌麻煩,4,須繳燃料使用費，不願換發,5,積欠稅款、罰款,6,須繳強制責任險費用，不願換發,7,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,里程錶已行駛公里數是否確定,選擇題,1,確定,2,不確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11B1,已行駛公里數為___公里(5碼整數),開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,通常每公升汽油可行駛里程數,選擇題,1,未滿15公里,2,15~未滿20公里,3,20~未滿25公里,4,25~未滿30公里,5,30~未滿35公里,6,35公里及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2O,35公里以上，請說明__公里,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,平常出門最常乘載人數：(含駕駛人、嬰兒、小孩、大人),選擇題,1,1人,2,2人,3,3人,4,4人及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,平均每星期(星期一至星期日)約使用幾天,選擇題,1,1天以下,2,1天,3,2天,4,3天,5,4天,6,5天,7,6天,8,7天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,通常在使用天數中，平均一天約行駛多少時間,選擇題,1,未滿15分鐘,2,15分鐘~未滿30分鐘,3,30分鐘~未滿45分鐘,4,45分鐘~未滿1小時,5,1小時~未滿1小時半,6,1小時半~未滿2小時,7,2小時~未滿3小時,8,3小時~未滿4小時,9,4小時及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,在使用天數中，平均一天約行駛多少公里,選擇題,1,未滿1公里,2,1~未滿3公里,3,3~未滿5公里,4,5~未滿10公里,5,10~未滿15公里,6,15~未滿20公里,7,20~未滿30公里,8,30~未滿40公里,9,40公里及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6O,40公里以上，請說明__公里,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,最主要用途,選擇題,1,上、下班,2,上、下學,3,業務使用,4,接送親屬(含小孩),5,購物 ,6,休閒娛樂及旅遊,7,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8A,平均每星期約使用幾天,選擇題,1,1天以下,2,1天,3,2天,4,3天,5,4天,6,5天,7,6天,8,7天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8B,在使用的天數中，平均每天約使用幾次（來回算1次）,選擇題,1,1次,2,2次,3,3次,4,4次,5,5次及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8C,平均每次（來回算1次）約行駛多少時間,選擇題,1,未滿7分鐘,2,7分鐘~未滿15分鐘,3,15分鐘~未滿30分鐘,4,30分鐘~未滿1小時,5,1小時~未滿1小時半,6,1小時半~未滿2小時,7,2小時~未滿3小時,8,3小時~未滿4小時,9,4小時及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8D,平均每次（來回算1次）約行駛多少公里,選擇題,1,未滿0.5公里,2,0.5~未滿1公里,3,1~未滿2公里,4,2~未滿3公里,5, 3~未滿5公里,6,5~未滿10公里,7,10~未滿15公里,8,15~未滿20公里,9,20~未滿30公里,10,30~未滿40公里 ,11,40公里及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8DO,40公里以上，請說明__公里,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9,本機車在居家附近的主要停車位,選擇題,1,路邊或巷道內之機車停車格(含停車彎) ,2,人行道上之機車停車格,3,無機車停車格之路邊或巷道內,4,無機車停車格之人行道上,5,騎樓,6,停車場,7,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,通勤(學)（指上下班或上下學）時使用機車最主要原因（限單選）,選擇題,1,搭乘公共運輸工具不方便,2,機動性較高，方便進行其他活動,3,可縮短通勤時間,4,通勤成本較低,5,停車較方便,6,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,做通勤(學)(上下班或上下學)用時，有沒有作為轉搭乘其他交通工具之用,選擇題,1,沒有,2,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22A,騎機車到達轉搭乘其他交通工具地點平均所需時間,選擇題,1,未滿3分鐘,2,3~未滿5分鐘,3,5~未滿10分鐘,4,10~未滿20分鐘,5,20~未滿30分鐘,6,30~未滿40分鐘,7,40~未滿50分鐘,8,50分鐘~未滿1小時,9,1小時及以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22B,最主要轉搭乘之交通工具(限單選),選擇題,1,自用小客,2,市區公車,3,長途客運車,4,火車,5,交通車,6,捷運,7,高鐵,8,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22C,轉搭乘其他運具時，機車最常停放的位置（限單選）,選擇題,1,路邊或巷道內之機車停車格(含停車彎),2,人行道上之機車停車格,3,無機車停車格之路邊或巷道內,4,無機車停車格之人行道上,5,騎樓,6,停車場,7,捷運站附設之機車停車格,8,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,平常在工作(上學)地點最常停放的位置（限單選）,選擇題,1,路邊或巷道內之機車停車格(含停車彎),2,人行道上之機車停車格,3,無機車停車格之路邊或巷道內,4,無機車停車格之人行道上,5,騎樓,6,停車場,7,捷運站附設之機車停車格,8,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,通常平均每星期耗用汽油費【電動機車免填】,選擇題,1,未滿30元,2,30~未滿50元,3,50~未滿70元,4,70~未滿90元,5,90~未滿110元,6,110~未滿130元,7,130~未滿150元,8,150~未滿175元,9,175~未滿200元,10,200~未滿225元,11,225~未滿250元,12,250元及以上,,,,,,,,,,,,,,,,,,,,,,,,,,
D1O,250元以上，請說明__元,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,平均每月花費之停車費為【含路邊、路外、建築物附設停車位等之停車費】,選擇題,1,無停車費,2,未滿50元,3,50~未滿100元,4,100~未滿200元,5,200~未滿300元,6,300~未滿400元,7,400~未滿500元,8,500~未滿600元,9,600元及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2O,600元以上，請說明__元,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,全年保養維修費用,選擇題,1,未滿5百元,2,5百~未滿1千元,3,1千~未滿1千5百元,4,1千5百~未滿2千元,5,2千~未滿3千元,6,3千~未滿4千元,7,4千~未滿5千元,8,5千元及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3O,5000元以上，請說明__元,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,全年騎機車時，有沒有違規過(不論有無被取締)：,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11A,較常違規項目為，第1：[_____],選擇題,1,違規停車,2,紅燈右轉,3,不依二段式規定左轉,4,未戴安全帽（含帽帶未繫妥）,5,超速,6,行駛快車道,7,遺忘攜帶駕照、行照等證件,8,闖紅燈,9,逆向行駛,10,超載,11,未裝照後鏡,12,借車給無駕照者（含無適當駕照者）,13,使用行動電話,14,酒後騎機車,15,遇行人穿越道未禮讓行人,16,其他,,,,,,,,,,,,,,,,,,
E11B,較常違規項目為，第2：[_____],選擇題,1,違規停車,2,紅燈右轉,3,不依二段式規定左轉,4,未戴安全帽（含帽帶未繫妥）,5,超速,6,行駛快車道,7,遺忘攜帶駕照、行照等證件,8,闖紅燈,9,逆向行駛,10,超載,11,未裝照後鏡,12,借車給無駕照者（含無適當駕照者）,13,使用行動電話,14,酒後騎機車,15,遇行人穿越道未禮讓行人,16,其他,,,,,,,,,,,,,,,,,,
E11C,較常違規項目為，第3：[_____]),選擇題,1,違規停車,2,紅燈右轉,3,不依二段式規定左轉,4,未戴安全帽（含帽帶未繫妥）,5,超速,6,行駛快車道,7,遺忘攜帶駕照、行照等證件,8,闖紅燈,9,逆向行駛,10,超載,11,未裝照後鏡,12,借車給無駕照者（含無適當駕照者）,13,使用行動電話,14,酒後騎機車,15,遇行人穿越道未禮讓行人,16,其他,,,,,,,,,,,,,,,,,,
E21,100年全年騎機車時，有未戴安全帽行駛（含帽帶未繫妥）行為之頻率,選擇題,1,無,2,很少,3,偶而,4,經常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E22,101年全年騎機車時，有酒後騎機車行為之頻率,選擇題,1,無,2,很少,3,偶而,4,經常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E23,102年全年騎機車時，有超速行駛行為之頻率,選擇題,1,無,2,很少,3,偶而,4,經常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,全年機車行駛過程中，有無發生道路交通事故(含輕微擦撞)：,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32A,E3_2A.全年發生事故總次數為：共___次,選擇題,1,1次,2,2次,3,3次,4,4次及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32AO,4次以上，共__次,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32BA,因使用行動電話引發事故共___次,選擇題,1,無,2,1次,3,2次,4,3次及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32BAO,3次以上，共__次,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32BB,因酒後騎機車引發事故共___次,選擇題,1,無,2,1次,3,2次,4,3次及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32BBO,3次以上，共__次,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32BC,因超速來不及反應共___次,選擇題,1,無,2,1次,3,2次,4,3次及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32BCO,3次以上，共__次,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,有沒有親自到監理處所(站)辦理有關機車考照、換照及其他手續之服務,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F11,對其整體服務態度及品質之滿意程度,選擇題,1,很滿意,2,還算滿意,3,不太滿意,4,很不滿意,5,無意見,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F21,目前機車使用縣市最需要增闢之機車硬體措施為何（第1選擇）,選擇題,1,機車專用道（或優先道）,2,機車路邊(人行道)停車格,3,機車收費停車場,4,機車停等區,5,機車賽車場,6,機車二段式左轉標誌及標線,7,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F22,目前機車使用縣市最需要增闢之機車硬體措施為何（第2選擇）,選擇題,1,機車專用道（或優先道）,2,機車路邊(人行道)停車格,3,機車收費停車場,4,機車停等區,5,機車賽車場,6,機車二段式左轉標誌及標線,7,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F23,目前機車使用縣市最需要增闢之機車硬體措施為何（第3選擇）,選擇題,1,機車專用道（或優先道）,2,機車路邊(人行道)停車格,3,機車收費停車場,4,機車停等區,5,機車賽車場,6,機車二段式左轉標誌及標線,7,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,在政府實行下列機車管理措施下，您是否會因此而改用公共運輸工具,選擇題,1,不會,2,會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F321,因下列何種管理措施會改用(第1優先),選擇題,1,機車停車要收費,2,限制機車停放範圍,3,擴大機車禁行區域或路段,4,加強取締機車違規行為,5,燃料費隨油徵收,6,實施防制機車廢氣排放相關政策,7,實施機車總量管制,8,油價飆漲時,9,政府提供便利、完善之公車服務,10,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F322,因下列何種管理措施會改用(第2優先),選擇題,1,機車停車要收費,2,限制機車停放範圍,3,擴大機車禁行區域或路段,4,加強取締機車違規行為,5,燃料費隨油徵收,6,實施防制機車廢氣排放相關政策,7,實施機車總量管制,8,油價飆漲時,9,政府提供便利、完善之公車服務,10,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F323,因下列何種管理措施會改用(第3優先),選擇題,1,機車停車要收費,2,限制機車停放範圍,3,擴大機車禁行區域或路段,4,加強取締機車違規行為,5,燃料費隨油徵收,6,實施防制機車廢氣排放相關政策,7,實施機車總量管制,8,油價飆漲時,9,政府提供便利、完善之公車服務,10,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,是否為車主本人,選擇題,1,是,2,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2,性別,選擇題,1,男,2,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3,年齡,選擇題,1,未滿18歲,2,18~未滿20歲,3,20~未滿30歲,4,30~未滿40歲,5,40~未滿50歲,6,50~未滿60歲,7,60~未滿65歲,8,65~未滿70歲,9,70歲及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4,教育程度,選擇題,1,國小及以下,2,國(初)中,3,高中(職),4,專科,5,大學,6,研究所及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5,職業,選擇題,11,農林漁牧,12,公,13,商,14,服務,15,軍公教,21,學生,22,家庭管理,23,已退休,24,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6,平均每個月之個人總所得,選擇題,1,未滿5千元,2,5千~未滿1萬元,3,1萬~未滿2萬元,4,2萬~未滿3萬元,5,3萬~未滿4萬元,6,4萬~未滿5萬元,7,5萬~未滿6萬元,8,6萬~未滿7萬元,9,7萬元及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7A,目前擁有的交通工具─機車,選擇題,1,0輛,2,1輛,3,2輛,4,3輛,5,4輛及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7B,目前擁有的交通工具─自用小客車,選擇題,1,0輛,2,1輛,3,2輛,4,3輛,5,4輛及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G8,出門除騎本機車外，是否也兼用其他交通工具,選擇題,1,是,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G81,是，最主要兼用之交通工具為,選擇題,1,自用小客車,2,計程車,3,火車,4,市區公車,5,長途客運車,6,捷運,7,自行車,8,交通車,9,高鐵,10,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9,機車使用縣市,選擇題,1,新北市,2,臺北市,3,臺中市,4,臺南市,5,高雄市,6,宜蘭縣,7,基隆縣,8,桃園縣,9,新竹縣,10,新竹市,11,苗栗縣,12,南投縣,13,彰化縣,14,雲林縣,15,嘉義市,16,嘉義縣,17,屏東縣,18,臺東縣,19,花蓮縣,20,澎湖縣,21,金門縣,22,連江縣,,,,,,
S1,樣本編號,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code,機車登記縣市,選擇題,1,臺北市,2,高雄市,3,新北市,4,宜蘭縣,5,桃園縣,6,新竹縣,7,苗栗縣,,,9,彰化縣,10,南投縣,11,雲林縣,12,嘉義縣,,,,,15,屏東縣,16,臺東縣,17,花蓮縣,18,澎湖縣,19,基隆市,20,新竹市,21,臺中市,22,嘉義市,23,臺南市,24,金門縣,25,連江縣
w,權數,開放題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
